nodo_id_1,nodo_name_1,nodo_type_1,nodo_id_2,nodo_name_2,nodo_type_2,distanza
1/734  [589],Trani,CASELLO,10203,DOLMEN DI BISCEGLIE OVEST,DISTRIBUTORE,6.31
10203,DOLMEN DI BISCEGLIE OVEST,DISTRIBUTORE,1/735  [686],Molfetta,CASELLO,7.99
1/735  [686],Molfetta,CASELLO,1/736  [687],Bitonto,CASELLO,10.6
1/736  [687],Bitonto,CASELLO,10207,MURGE OVEST,DISTRIBUTORE,8.44
10207,MURGE OVEST,DISTRIBUTORE,1/737  [609],Bari nord,ALLACCIAMENTO,0.76
1/737  [609],Bari nord,ALLACCIAMENTO,1/738  [689],Bari sud,CASELLO,5.6
1/738  [689],Bari sud,CASELLO,24670,LE FONTI OVEST,DISTRIBUTORE,19.7
24670,LE FONTI OVEST,DISTRIBUTORE,1/739  [690],Acquaviva delle Fonti,CASELLO,0.1
1/739  [690],Acquaviva delle Fonti,CASELLO,1/740  [692],Gioia del Colle,CASELLO,12.0
1/740  [692],Gioia del Colle,CASELLO,1/741  [693],Mottola,CASELLO,14.3
1/741  [693],Mottola,CASELLO,1/742  [694],Taranto nord,CASELLO,11.3
1/742  [694],Taranto nord,CASELLO,*/1934  [2838],Rotatoria Palagianello,ALLACCIAMENTO,1.54
*/1934  [2838],Rotatoria Palagianello,ALLACCIAMENTO,*/1178  [695],Bivio A14/SS7 Appia,ALLACCIAMENTO,6.66
1/5058  [72073],Bivio A15/A1 Milano-Napoli,ALLACCIAMENTO,1/151  [651],Parma ovest,CASELLO,5.2
1/151  [651],Parma ovest,CASELLO,181,MEDESANO OVEST,DISTRIBUTORE,9.5
181,MEDESANO OVEST,DISTRIBUTORE,1/152  [557],Fornovo,CASELLO,8.0
1/152  [557],Fornovo,CASELLO,1/153  [558],Borgotaro,CASELLO,19.4
1/153  [558],Borgotaro,CASELLO,1/154  [559],Berceto,CASELLO,8.9
1/154  [559],Berceto,CASELLO,10041,TUGO OVEST,DISTRIBUTORE,3.3
10041,TUGO OVEST,DISTRIBUTORE,10038,MONTAIO OVEST,DISTRIBUTORE,11.0
10038,MONTAIO OVEST,DISTRIBUTORE,1/155  [561],Pontremoli,CASELLO,9.3
1/155  [561],Pontremoli,CASELLO,10039,SAN BENEDETTO OVEST,DISTRIBUTORE,5.1
10039,SAN BENEDETTO OVEST,DISTRIBUTORE,1/156  [562],Aulla,CASELLO,11.7
1/156  [562],Aulla,CASELLO,1/987  [70811],Nodo A15/A12 Genova-Livorno,ALLACCIAMENTO,9.1
1/987  [70811],Nodo A15/A12 Genova-Livorno,ALLACCIAMENTO,1/278  [70801],La spezia,CASELLO,1.2
1/278  [70801],La spezia,CASELLO,*/1151  [584],Bivio A15/Dir. S. Stefano di Magra,ALLACCIAMENTO,0.3
*/1151  [584],Bivio A15/Dir. S. Stefano di Magra,ALLACCIAMENTO,*/1012  [585],Vezzano Ligure,CASELLO,1.2
*/1012  [585],Vezzano Ligure,CASELLO,*/2957  [2957],Melara Pianazze,CASELLO,2.8
*/2957  [2957],Melara Pianazze,CASELLO,*/1023  [590],Bivio A15/Raccordo Lerici,ALLACCIAMENTO,1.9
*/1023  [590],Bivio A15/Raccordo Lerici,ALLACCIAMENTO,*/1190  [591],La Spezia Via Carducci,CASELLO,0.6
*/1157  [722],Bivio A16/A1 Milano-Napoli,ALLACCIAMENTO,10044,VESUVIO SUD,DISTRIBUTORE,4.5
10044,VESUVIO SUD,DISTRIBUTORE,35/718  [785],Pomigliano,CASELLO,2.8
35/718  [785],Pomigliano,CASELLO,*/2997  [3138],Pomigliano Est,CASELLO,0.3
*/2997  [3138],Pomigliano Est,CASELLO,1/780  [175],Napoli est,CASELLO,5.6
1/780  [175],Napoli est,CASELLO,1/994  [710],Nodo A16/A30 Caserta-Salerno,ALLACCIAMENTO,2.7
1/994  [710],Nodo A16/A30 Caserta-Salerno,ALLACCIAMENTO,1/729  [2815],Tufino,CASELLO,7.63
1/729  [2815],Tufino,CASELLO,1/720  [787],Baiano,CASELLO,3.07
1/720  [787],Baiano,CASELLO,1/721  [788],Avellino ovest,CASELLO,14.5
1/721  [788],Avellino ovest,CASELLO,10042,IRPINIA SUD,DISTRIBUTORE,3.1
10042,IRPINIA SUD,DISTRIBUTORE,1/722  [699],Avellino est,CASELLO,5.5
1/722  [699],Avellino est,CASELLO,1/723  [700],Benevento,CASELLO,19.0
1/723  [700],Benevento,CASELLO,10047,MIRABELLA SUD,DISTRIBUTORE,8.6
10047,MIRABELLA SUD,DISTRIBUTORE,1/724  [702],Grottaminarda,CASELLO,4.4
1/724  [702],Grottaminarda,CASELLO,1/725  [703],Vallata,CASELLO,22.5
1/725  [703],Vallata,CASELLO,10046,CALAGGIO SUD,DISTRIBUTORE,2.3
10046,CALAGGIO SUD,DISTRIBUTORE,1/726  [705],Lacedonia,CASELLO,4.5
1/726  [705],Lacedonia,CASELLO,1/5008  [706],Cambio Competenza A16 T06 - T08,CASELLO,16.6
1/5008  [706],Cambio Competenza A16 T06 - T08,CASELLO,1/727  [696],Candela,CASELLO,0.3
1/727  [696],Candela,CASELLO,10043,TORRE ALEMANNA SUD,DISTRIBUTORE,9.69
10043,TORRE ALEMANNA SUD,DISTRIBUTORE,10045,OFANTO SUD,DISTRIBUTORE,15.51
10045,OFANTO SUD,DISTRIBUTORE,1/728  [604],Cerignola ovest,CASELLO,6.8
1/728  [604],Cerignola ovest,CASELLO,1/988  [605],Bivio A16/A14 Bologna-Taranto,ALLACCIAMENTO,12.6
*/1835  [2653],ALL. A18/A20,ALLACCIAMENTO,30/1  [2091],MESSINA SUD,CASELLO,1.0
30/1  [2091],MESSINA SUD,CASELLO,30/3  [2092],ROCCALUMERA,CASELLO,21.0
30/3  [2092],ROCCALUMERA,CASELLO,30/4  [2093],TAORMINA,CASELLO,14.0
30/4  [2093],TAORMINA,CASELLO,30/5  [2094],GIARDINI NAXOS,CASELLO,5.0
30/5  [2094],GIARDINI NAXOS,CASELLO,30/6  [2095],FIUMEFREDDO,CASELLO,7.0
30/6  [2095],FIUMEFREDDO,CASELLO,30/7  [2096],GIARRE,CASELLO,11.0
30/7  [2096],GIARRE,CASELLO,30/8  [2097],ACIREALE,CASELLO,10.0
30/8  [2097],ACIREALE,CASELLO,30/9  [2098],CATANIA NORD,CASELLO,8.0
*/1844  [2629],VILLABATE,CASELLO,*/1845  [2630],BAGHERIA,CASELLO,6.0
*/1845  [2630],BAGHERIA,CASELLO,*/1846  [2631],CASTELDACCIA,CASELLO,4.0
*/1846  [2631],CASTELDACCIA,CASELLO,*/1847  [2632],ALTAVILLA MILICIA,CASELLO,1.0
*/1847  [2632],ALTAVILLA MILICIA,CASELLO,*/1848  [2633],TRABIA,CASELLO,8.0
*/1848  [2633],TRABIA,CASELLO,*/1849  [2634],TERMINI IMERESE,CASELLO,7.0
*/1849  [2634],TERMINI IMERESE,CASELLO,*/1850  [2635],AGGLOMERATO INDUSTRIALE (BIVIO A19/A20 per/da Palermo),CASELLO,11.0
*/1850  [2635],AGGLOMERATO INDUSTRIALE (BIVIO A19/A20 per/da Palermo),CASELLO,*/1851  [2636],BIVIO A19/A20,ALLACCIAMENTO,3.0
*/1851  [2636],BIVIO A19/A20,ALLACCIAMENTO,*/1852  [2637],BUONFORNELLO (BIVIO A19/A20 per/da Catania),CASELLO,1.0
*/1852  [2637],BUONFORNELLO (BIVIO A19/A20 per/da Catania),CASELLO,*/1853  [2638],SCILLATO,CASELLO,16.0
*/1853  [2638],SCILLATO,CASELLO,*/1854  [2639],TRE MONZELLI,CASELLO,16.0
*/1854  [2639],TRE MONZELLI,CASELLO,*/1855  [2640],RESUTTANO,CASELLO,10.0
*/1855  [2640],RESUTTANO,CASELLO,*/1856  [2641],PONTE CINQUE ARCHI,CASELLO,15.0
*/1856  [2641],PONTE CINQUE ARCHI,CASELLO,*/1857  [2642],BIVIO A19/DIR. CALTANISSETTA,ALLACCIAMENTO,5.0
*/1857  [2642],BIVIO A19/DIR. CALTANISSETTA,ALLACCIAMENTO,*/1858  [2643],ENNA,CASELLO,16.0
*/1858  [2643],ENNA,CASELLO,*/1859  [2644],MULINELLO,CASELLO,10.0
*/1859  [2644],MULINELLO,CASELLO,*/1860  [2645],DITTANO,CASELLO,4.0
*/1860  [2645],DITTANO,CASELLO,*/1861  [2646],AGIRA,CASELLO,11.0
*/1861  [2646],AGIRA,CASELLO,*/1862  [2647],CATENANUOVA,CASELLO,12.0
*/1862  [2647],CATENANUOVA,CASELLO,*/1863  [2648],GERBINI,CASELLO,15.0
*/1863  [2648],GERBINI,CASELLO,*/1864  [2649],MOTTA - S. ANASTASIA,CASELLO,11.0
*/1864  [2649],MOTTA - S. ANASTASIA,CASELLO,*/1865  [2650],SV. TANGENZIALI DI CATANIA,CASELLO,7.0
*/1835  [2653],ALL. A18/A20,ALLACCIAMENTO,*/1836  [2654],MESSINA SUD TREMESTIERI,CASELLO,1.0
*/1836  [2654],MESSINA SUD TREMESTIERI,CASELLO,*/1837  [2655],S. FILIPPO,CASELLO,4.0
*/1837  [2655],S. FILIPPO,CASELLO,*/1838  [2656],MESSINA-GAZZI,CASELLO,1.0
*/1838  [2656],MESSINA-GAZZI,CASELLO,*/1839  [2657],MESSINA CENTRO,CASELLO,1.0
*/1839  [2657],MESSINA CENTRO,CASELLO,*/1840  [2658],MESSINA-BOCCETTA,CASELLO,2.0
*/1840  [2658],MESSINA-BOCCETTA,CASELLO,29/21  [46],VILLAFRANCA - USC.,CASELLO,11.2
29/21  [46],VILLAFRANCA - USC.,CASELLO,*/1841  [2659],VILLAFRANCA TIRRENA,CASELLO,0.3
*/1841  [2659],VILLAFRANCA TIRRENA,CASELLO,28/1  [6],MESSINA NORD,CASELLO,0.5
28/1  [6],MESSINA NORD,CASELLO,28/2  [7],ROMETTA,CASELLO,3.0
28/2  [7],ROMETTA,CASELLO,28/3  [13],MILAZZO,CASELLO,14.0
28/3  [13],MILAZZO,CASELLO,28/4  [15],BARCELLONA,CASELLO,9.0
28/4  [15],BARCELLONA,CASELLO,28/5  [16],FALCONE,CASELLO,11.0
28/5  [16],FALCONE,CASELLO,28/6  [17],PATTI,CASELLO,9.0
28/6  [17],PATTI,CASELLO,28/7  [18],BROLO,CASELLO,17.0
28/7  [18],BROLO,CASELLO,28/8  [19],CAPRILEONE,CASELLO,13.0
28/8  [19],CAPRILEONE,CASELLO,28/9  [20],S. AGATA DI MILITELLO,CASELLO,10.0
28/9  [20],S. AGATA DI MILITELLO,CASELLO,28/12  [2448],S.STEFANO DI CAMASTRA,CASELLO,28.0
28/12  [2448],S.STEFANO DI CAMASTRA,CASELLO,28/13  [2449],TUSA,CASELLO,9.0
28/13  [2449],TUSA,CASELLO,28/14  [2450],CASTELBUONO,CASELLO,11.0
28/14  [2450],CASTELBUONO,CASELLO,28/15  [2451],CEFALÙ,CASELLO,8.0
28/15  [2451],CEFALÙ,CASELLO,28/16  [2452],BUONFORNELLO,CASELLO,18.0
28/16  [2452],BUONFORNELLO,CASELLO,*/1851  [2636],BIVIO A19/A20,ALLACCIAMENTO,2.0
*/1221  [4024],ALLAC. TANG. SUD TORINO/A21,ALLACCIAMENTO,*/1815  [4069],ALLACCIAMENTO A21/SS10,ALLACCIAMENTO,10.6
*/1815  [4069],ALLACCIAMENTO A21/SS10,ALLACCIAMENTO,34/446  [72063],VILLANOVA SVINCOLO,CASELLO,0.1
34/446  [72063],VILLANOVA SVINCOLO,CASELLO,1/445  [72055],VILLANOVA BARRIERA,CASELLO,0.1
1/445  [72055],VILLANOVA BARRIERA,CASELLO,16267,VILLANOVA D'ASTI SUD,DISTRIBUTORE,2.2
16267,VILLANOVA D'ASTI SUD,DISTRIBUTORE,1/447  [72056],ASTI OVEST,CASELLO,19.5
1/447  [72056],ASTI OVEST,CASELLO,1/448  [72057],ASTI EST,CASELLO,6.2
1/448  [72057],ASTI EST,CASELLO,274,CROCETTA SUD,DISTRIBUTORE,9.4
274,CROCETTA SUD,DISTRIBUTORE,1/449  [72050],FELIZZANO,CASELLO,3.5
1/449  [72050],FELIZZANO,CASELLO,1/958  [496],Nodo A21/A26 Trafori,ALLACCIAMENTO,13.5
1/958  [496],Nodo A21/A26 Trafori,ALLACCIAMENTO,1/451  [72058],ALESSANDRIA OVEST,CASELLO,0.9
1/451  [72058],ALESSANDRIA OVEST,CASELLO,1/452  [72051],ALESSANDRIA EST,CASELLO,10.0
1/452  [72051],ALESSANDRIA EST,CASELLO,1/961  [72052],ALL. A7/A21,ALLACCIAMENTO,11.5
1/961  [72052],ALL. A7/A21,ALLACCIAMENTO,10048,TORTONA SUD,DISTRIBUTORE,3.8
10048,TORTONA SUD,DISTRIBUTORE,1/455  [72053],VOGHERA,CASELLO,10.0
1/455  [72053],VOGHERA,CASELLO,1/456  [72054],CASTEGGIO CASATISMA,CASELLO,13.6
1/456  [72054],CASTEGGIO CASATISMA,CASELLO,1/457  [72059],BRONI STRADELLA,CASELLO,12.0
1/457  [72059],BRONI STRADELLA,CASELLO,10051,STRADELLA SUD,DISTRIBUTORE,3.3
10051,STRADELLA SUD,DISTRIBUTORE,1/458  [72060],CASTELSANGIOVANNI,CASELLO,10.7
1/458  [72060],CASTELSANGIOVANNI,CASELLO,1/459  [72061],PIACENZA OVEST,CASELLO,16.5
1/459  [72061],PIACENZA OVEST,CASELLO,1/1443  [72062],ALL. A21 TORINO / A1,ALLACCIAMENTO,7.2
1/1443  [72062],ALL. A21 TORINO / A1,ALLACCIAMENTO,1/5011  [2500],Bivio A21 Brescia/A1 Milano-Napoli,ALLACCIAMENTO,0.3
1/5011  [2500],Bivio A21 Brescia/A1 Milano-Napoli,ALLACCIAMENTO,25967,NURE SUD,DISTRIBUTORE,1.1
25967,NURE SUD,DISTRIBUTORE,1/637  [70215],Caorso,CASELLO,10.3
1/637  [70215],Caorso,CASELLO,1/1441  [70217],Bivio A21/Diramazione Fiorenzuola,ALLACCIAMENTO,4.9
1/1441  [70217],Bivio A21/Diramazione Fiorenzuola,ALLACCIAMENTO,1/635  [70214],Castelvetro,CASELLO,4.8
1/635  [70214],Castelvetro,CASELLO,289,CREMONA SUD,DISTRIBUTORE,7.0
289,CREMONA SUD,DISTRIBUTORE,1/634  [70213],Cremona,CASELLO,1.8
1/634  [70213],Cremona,CASELLO,1/633  [70212],Pontevico,CASELLO,15.2
1/633  [70212],Pontevico,CASELLO,1/632  [70211],Manerbio,CASELLO,10.8
1/632  [70211],Manerbio,CASELLO,10052,GHEDI EST,DISTRIBUTORE,9.6
10052,GHEDI EST,DISTRIBUTORE,1/630  [70210],Brescia sud,ALLACCIAMENTO,2.8
1/630  [70210],Brescia sud,ALLACCIAMENTO,1/955  [70216],Bivio A21/A4 Torino-Trieste,ALLACCIAMENTO,3.8
1/955  [70216],Bivio A21/A4 Torino-Trieste,ALLACCIAMENTO,1/631  [70209],Brescia Centro,CASELLO,1.2
1/631  [70209],Brescia Centro,CASELLO,*/1833  [2627],SV. BRESCIA CENTRO,CASELLO,0.1
*/1170  [966],Confine di Stato,CASELLO,*/1036  [902],Dogana del Brennero,CASELLO,1.5
*/1036  [902],Dogana del Brennero,CASELLO,*/1010  [901],Brennero Terme,CASELLO,3.0
*/1010  [901],Brennero Terme,CASELLO,*/1019  [817],Ponticolo,CASELLO,2.6
*/1019  [817],Ponticolo,CASELLO,1/681  [900],Brennero,CASELLO,8.7
1/681  [900],Brennero,CASELLO,1/680  [918],Vipiteno,CASELLO,0.1
1/680  [918],Vipiteno,CASELLO,10059,TRENS OVEST,DISTRIBUTORE,4.1
10059,TRENS OVEST,DISTRIBUTORE,1/679  [968],Bressanone,CASELLO,18.0
1/679  [968],Bressanone,CASELLO,10066,PLOSE OVEST,DISTRIBUTORE,3.8
10066,PLOSE OVEST,DISTRIBUTORE,1/683  [2470],Bressanone Zona Industriale,CASELLO,5.8
1/683  [2470],Bressanone Zona Industriale,CASELLO,1/678  [970],Chiusa,CASELLO,5.5
1/678  [970],Chiusa,CASELLO,326,SCILIAR OVEST,DISTRIBUTORE,15.7
326,SCILIAR OVEST,DISTRIBUTORE,1/677  [973],Bolzano nord,CASELLO,8.7
1/677  [973],Bolzano nord,CASELLO,1/676  [881],Bolzano sud,CASELLO,7.8
1/676  [881],Bolzano sud,CASELLO,296,CASTEL VARCO LAIMBURG OVEST,DISTRIBUTORE,14.2
296,CASTEL VARCO LAIMBURG OVEST,DISTRIBUTORE,1/675  [882],Egna Ora,CASELLO,2.3
1/675  [882],Egna Ora,CASELLO,1/674  [883],San Michele,CASELLO,19.6
1/674  [883],San Michele,CASELLO,300,PAGANELLA OVEST,DISTRIBUTORE,7.3
300,PAGANELLA OVEST,DISTRIBUTORE,1/682  [270],Trento nord,CASELLO,2.7
1/682  [270],Trento nord,CASELLO,1/673  [897],Trento Centro,CASELLO,5.1
1/673  [897],Trento Centro,CASELLO,1/684  [2731],TRENTO SUD,CASELLO,5.51
1/684  [2731],TRENTO SUD,CASELLO,1/672  [885],Rovereto nord,CASELLO,15.89
1/672  [885],Rovereto nord,CASELLO,10062,NOGAREDO OVEST,DISTRIBUTORE,2.0
10062,NOGAREDO OVEST,DISTRIBUTORE,1/671  [887],Rovereto sud,CASELLO,6.8
1/671  [887],Rovereto sud,CASELLO,1/670  [903],Ala Avio,CASELLO,12.4
1/670  [903],Ala Avio,CASELLO,312,ADIGE OVEST,DISTRIBUTORE,8.0
312,ADIGE OVEST,DISTRIBUTORE,1/669  [889],Affi,CASELLO,19.6
1/669  [889],Affi,CASELLO,10060,GARDA OVEST,DISTRIBUTORE,0.9
10060,GARDA OVEST,DISTRIBUTORE,1/668  [891],Verona nord,CASELLO,17.8
1/668  [891],Verona nord,CASELLO,1/951  [904],Nodo A22/A4 Torino-Trieste,ALLACCIAMENTO,2.5
1/951  [904],Nodo A22/A4 Torino-Trieste,ALLACCIAMENTO,323,POVEGLIANO OVEST,DISTRIBUTORE,12.5
323,POVEGLIANO OVEST,DISTRIBUTORE,1/667  [893],Nogarole Rocca,CASELLO,3.3
1/667  [893],Nogarole Rocca,CASELLO,1/666  [894],Mantova nord,CASELLO,12.5
1/666  [894],Mantova nord,CASELLO,1/665  [895],Mantova sud,CASELLO,8.8
1/665  [895],Mantova sud,CASELLO,10063,PO OVEST,DISTRIBUTORE,2.5
10063,PO OVEST,DISTRIBUTORE,1/664  [906],Pegognaga,CASELLO,9.2
1/664  [906],Pegognaga,CASELLO,1/663  [898],Reggiolo Rolo,CASELLO,8.9
1/663  [898],Reggiolo Rolo,CASELLO,1/662  [818],Carpi,CASELLO,16.6
1/662  [818],Carpi,CASELLO,291,CAMPOGALLIANO OVEST,DISTRIBUTORE,6.3
291,CAMPOGALLIANO OVEST,DISTRIBUTORE,1/661  [816],Campogalliano,CASELLO,3.6
1/661  [816],Campogalliano,CASELLO,1/954  [81],Bivio A22/A1 Milano-Napoli,ALLACCIAMENTO,1.0
1/942  [70768],Bivio A23/A4 Torino-Trieste,ALLACCIAMENTO,1/505  [70760],Udine sud,ALLACCIAMENTO,13.75
1/505  [70760],Udine sud,ALLACCIAMENTO,1/943  [70772],Cambio Competenza A23 A.V. - T09,CASELLO,4.8
1/943  [70772],Cambio Competenza A23 A.V. - T09,CASELLO,1/541  [287],Udine nord,ALLACCIAMENTO,7.45
1/541  [287],Udine nord,ALLACCIAMENTO,343,LEDRA EST,DISTRIBUTORE,11.1
343,LEDRA EST,DISTRIBUTORE,1/542  [289],Gemona Osoppo,CASELLO,7.8
1/542  [289],Gemona Osoppo,CASELLO,1/543  [290],Carnia,CASELLO,14.7
1/543  [290],Carnia,CASELLO,1/544  [335],Pontebba,CASELLO,32.8
1/544  [335],Pontebba,CASELLO,335,FELLA EST,DISTRIBUTORE,4.5
335,FELLA EST,DISTRIBUTORE,1/545  [337],Ugovizza,CASELLO,8.3
1/545  [337],Ugovizza,CASELLO,*/1097  [338],Malborghetto,CASELLO,0.2
*/1097  [338],Malborghetto,CASELLO,*/1098  [339],Tarvisio sud,CASELLO,2.4
*/1098  [339],Tarvisio sud,CASELLO,*/1099  [340],Tarvisio nord,CASELLO,7.1
*/1099  [340],Tarvisio nord,CASELLO,*/1188  [341],Confine di Stato,CASELLO,5.0
*/1152  [3922],Grande Raccordo Anulare,ALLACCIAMENTO,*/5029  [3921],Innesto Complanare A24,ALLACCIAMENTO,7.1
*/5029  [3921],Innesto Complanare A24,ALLACCIAMENTO,35/802  [71291],Lunghezza,CASELLO,0.9
35/802  [71291],Lunghezza,CASELLO,1/801  [71724],Roma est,CASELLO,0.01
1/801  [71724],Roma est,CASELLO,358,COLLE TASSO SUD,DISTRIBUTORE,2.49
358,COLLE TASSO SUD,DISTRIBUTORE,1/971  [71033],Nodo A24/A1 Milano-Napoli,ALLACCIAMENTO,0.6
1/971  [71033],Nodo A24/A1 Milano-Napoli,ALLACCIAMENTO,1/803  [71726],Tivoli,CASELLO,1.32
1/803  [71726],Tivoli,CASELLO,1/804  [71635],Castel Madama,CASELLO,11.59
1/804  [71635],Castel Madama,CASELLO,1/805  [71666],Vicovaro-Mandela,CASELLO,9.16
1/805  [71666],Vicovaro-Mandela,CASELLO,348,CIVITA SUD,DISTRIBUTORE,14.53
348,CIVITA SUD,DISTRIBUTORE,1/806  [71636],Carsoli-Oricola,CASELLO,2.93
1/806  [71636],Carsoli-Oricola,CASELLO,1/807  [71637],Tagliacozzo,CASELLO,10.62
1/807  [71637],Tagliacozzo,CASELLO,1/963  [71732],Bivio A24/A25 Torano-Pescara,ALLACCIAMENTO,10.15
1/963  [71732],Bivio A24/A25 Torano-Pescara,ALLACCIAMENTO,1/808  [71663],Valle del Salto,CASELLO,3.71
1/808  [71663],Valle del Salto,CASELLO,1/809  [71733],Tornimparte,CASELLO,9.73
1/809  [71733],Tornimparte,CASELLO,10073,VALLE ATERNO SUD,DISTRIBUTORE,14.26
10073,VALLE ATERNO SUD,DISTRIBUTORE,1/810  [71735],L' Aquila Ovest,CASELLO,1.95
1/810  [71735],L' Aquila Ovest,CASELLO,1/811  [71736],L' Aquila Est,CASELLO,5.73
1/811  [71736],L' Aquila Est,CASELLO,1/812  [71737],Assergi,CASELLO,10.06
1/812  [71737],Assergi,CASELLO,1/813  [71739],San Gabriele-Colledara,CASELLO,19.49
1/813  [71739],San Gabriele-Colledara,CASELLO,1/814  [71738],Teramo,CASELLO,9.78
1/814  [71738],Teramo,CASELLO,*/1122  [3933],Basciano,CASELLO,2.5
*/1122  [3933],Basciano,CASELLO,*/1124  [3934],Val Vomano,CASELLO,2.4
*/1124  [3934],Val Vomano,CASELLO,*/1903  [3932],Teramo Ovest,CASELLO,6.3
*/1903  [3932],Teramo Ovest,CASELLO,*/1493  [3931],Teramo Est,CASELLO,1.1
*/1493  [3931],Teramo Est,CASELLO,*/1171  [3935],Bivio A24/SS 80 (SGC Giulianova),ALLACCIAMENTO,0.4
1/963  [71732],Bivio A25/A24 Roma-Teramo,ALLACCIAMENTO,10074,MONTE VELINO SUD,DISTRIBUTORE,10.2
10074,MONTE VELINO SUD,DISTRIBUTORE,1/830  [71743],Magliano dei Marsi,CASELLO,1.52
1/830  [71743],Magliano dei Marsi,CASELLO,1/831  [71744],Avezzano,ALLACCIAMENTO,4.83
1/831  [71744],Avezzano,ALLACCIAMENTO,1/832  [71652],Aielli-Celano,CASELLO,13.31
1/832  [71652],Aielli-Celano,CASELLO,1/833  [71653],Pescina,CASELLO,9.23
1/833  [71653],Pescina,CASELLO,1/834  [71654],Cocullo,CASELLO,10.96
1/834  [71654],Cocullo,CASELLO,1/835  [71655],Pratola Peligna-Sulmona,CASELLO,15.44
1/835  [71655],Pratola Peligna-Sulmona,CASELLO,1/836  [71656],Bussi-Popoli,CASELLO,13.13
1/836  [71656],Bussi-Popoli,CASELLO,1/837  [71657],Torre de' Passeri-Casauria,CASELLO,7.14
1/837  [71657],Torre de' Passeri-Casauria,CASELLO,1/838  [71658],Scafa-Alanno,CASELLO,9.47
1/838  [71658],Scafa-Alanno,CASELLO,1/829  [71290],Manoppello,CASELLO,4.27
1/829  [71290],Manoppello,CASELLO,10075,BRECCIAROLA SUD,DISTRIBUTORE,4.01
10075,BRECCIAROLA SUD,DISTRIBUTORE,1/839  [71668],Chieti,CASELLO,2.56
1/839  [71668],Chieti,CASELLO,1/840  [71660],Villanova,CASELLO,7.94
1/840  [71660],Villanova,CASELLO,1/957  [647],Bivio A25/A14 Bologna-Taranto,ALLACCIAMENTO,1.0
409,TURCHINO EST,DISTRIBUTORE,407,STURA EST,DISTRIBUTORE,18.7
407,STURA EST,DISTRIBUTORE,404,BORMIDA EST,DISTRIBUTORE,27.4
404,BORMIDA EST,DISTRIBUTORE,401,MONFERRATO EST,DISTRIBUTORE,30.6
401,MONFERRATO EST,DISTRIBUTORE,397,SESIA EST,DISTRIBUTORE,24.7
397,SESIA EST,DISTRIBUTORE,386,AGOGNA EST,DISTRIBUTORE,46.6
*/1148  [322],Nodo A27/A57 Tangenziale di Mestre,ALLACCIAMENTO,*/1932  [2836],Mogliano Veneto,CASELLO,3.8
*/1932  [2836],Mogliano Veneto,CASELLO,*/1831  [2622],Casale sul Sile,CASELLO,1.0
*/1831  [2622],Casale sul Sile,CASELLO,1/521  [2623],Venezia,CASELLO,0.2
1/521  [2623],Venezia,CASELLO,1/1011  [2621],Nodo A27/A4 Torino-Trieste,ALLACCIAMENTO,1.4
1/1011  [2621],Nodo A27/A4 Torino-Trieste,ALLACCIAMENTO,25965,SILE EST,DISTRIBUTORE,2.49
25965,SILE EST,DISTRIBUTORE,1/522  [370],Treviso sud,CASELLO,4.51
1/522  [370],Treviso sud,CASELLO,1/523  [280],Treviso nord,CASELLO,9.2
1/523  [280],Treviso nord,CASELLO,1/5054  [70751],Nodo A27/SPV Pedemontana,ALLACCIAMENTO,3.12
1/5054  [70751],Nodo A27/SPV Pedemontana,ALLACCIAMENTO,1/1013  [70773],Nodo A27/A28 Conegliano-Portogruaro,ALLACCIAMENTO,15.5
1/1013  [70773],Nodo A27/A28 Conegliano-Portogruaro,ALLACCIAMENTO,423,CERVADA EST,DISTRIBUTORE,8.48
423,CERVADA EST,DISTRIBUTORE,1/525  [284],Vittorio Veneto sud,CASELLO,2.6
1/525  [284],Vittorio Veneto sud,CASELLO,1/526  [285],Vittorio Veneto nord,CASELLO,6.6
1/526  [285],Vittorio Veneto nord,CASELLO,1/527  [2],Fadalto,CASELLO,7.9
1/527  [2],Fadalto,CASELLO,1/528  [50],Belluno,CASELLO,8.4
1/528  [50],Belluno,CASELLO,*/1285  [22],Belluno Svincolo,CASELLO,2.0
*/1285  [22],Belluno Svincolo,CASELLO,*/1286  [23],Bivio A27/SS 51 Alemagna,CASELLO,5.3
1/944  [70769],Bivio A28/A4 Torino-Trieste,ALLACCIAMENTO,1/508  [70763],Portogruaro,CASELLO,0.66
1/508  [70763],Portogruaro,CASELLO,*/1039  [1926],Portogruaro Svincolo,CASELLO,0.42
*/1039  [1926],Portogruaro Svincolo,CASELLO,430,GRUARO EST,DISTRIBUTORE,0.42
430,GRUARO EST,DISTRIBUTORE,*/1042  [1921],Sesto al Reghena,CASELLO,3.19
*/1042  [1921],Sesto al Reghena,CASELLO,*/1048  [1922],Villotta,CASELLO,3.98
*/1048  [1922],Villotta,CASELLO,*/1049  [1923],Azzano Decimo,CASELLO,5.28
*/1049  [1923],Azzano Decimo,CASELLO,*/1054  [1924],Cimpello,CASELLO,3.27
*/1054  [1924],Cimpello,CASELLO,*/1058  [1927],Pordenone Centro Commerciale,CASELLO,3.27
*/1058  [1927],Pordenone Centro Commerciale,CASELLO,*/1060  [1928],Pordenone sud,CASELLO,1.01
*/1060  [1928],Pordenone sud,CASELLO,*/1062  [1929],Porcia,CASELLO,2.85
